"* Required Fields","* Campos requeridos"
"You have placed no products yet.","A&uacute;n no ha colocado ning&uacute;n producto."
"You have placed no orders yet.","A&uacute;n no ha realizado ning&uacute;n Pedido."
"Customer Login","Acceso del cliente"
"Action","Acci&oacute;n"
"Update","Actualizar"
"You are currently subscribed to 'General Subscription'.","Actualmente est&aacute; suscripto a la 'Suscripci&oacute;n General'."
"You are currently subscribed to our newsletter","Actualmente est&aacute; suscripto a nuestro bolet&iacute;n de noticias"
"You are currently subscribed to our newsletter.","Actualmente est&aacute; suscripto a nuestro bolet&iacute;n de noticias"
"You are currently not subscribed to any newsletter.","Actualmente no est&aacute; suscripto a ning&uacute;n bolet&iacute;n de noticias."
"You are currently not subscribed to our newsletter","Actualmente no est&aacute; suscripto a nuestro bolet&iacute;n de noticias."
"Admin","Administraci&oacute;n"
"Added From","Agregado desde"
"Add New Customer","Agregar un nuevo cliente"
"Add New Customer Group","Agregar un nuevo grupo de clientes"
"Add New Address","Agregar una nueva direcci&oacute;n"
"To Cart","Al carrito"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podr&aacute; realizar el proceso de compra m&aacute;s r&aacute;pidamente, indicar un env&iacute;o a m&uacute;ltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho m&aacute;s. "
"Last Name","Apellido"
"Missing lastname, skipping the record","Apellido perdido, se omite el registro"
"Approved","Aprobado"
"Sign up for our newsletter","Apuntarse a nuestro bolet&iacute;n de noticias"
"Sign Up for Newsletter","Apuntarse al bolet&iacute;n de noticias"
"Assign a customer group","Asignar un grupo de clientes"
"Subject","Asunto"
"Newsletter","Bolet&iacute;n de noticias"
"Newsletter Received","Bolet&iacute;n de noticias recibido"
"Newsletters","Boletines de noticias"
"Delete","Borrar"
"Delete Customer","Borrar el cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Delete Address","Borrar la direcci&oacute;n"
"SKU","C&oacute;digo"
"ZIP","C&oacute;digo postal"
"ZIP/Post Code","C&oacute;digo postal"
"ZIP/Postal Code","C&oacute;digo postal"
"Zip/Postal Code","C&oacute;digo postal"
"Street Address","Calle"
"Street Address 2","Calle 2"
"Change Password","Cambiar la contrase&ntilde;a de la cuenta"
"Change Account Password","Cambiar la contrase&ntilde;a de la cuenta"
"Change Shipping Address","Cambiar la direcci&oacute;n de env&iacute;o"
"Change Billing Address","Cambiar la direcci&oacute;n de facturaci&oacute;n"
"Cancel","Cancelar"
"Unsubscribe from newsletter","Cancelar la suscripci&oacute;n al Bolet&iacute;n de noticias"
"Qty","Cant."
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d art&iacute;culo(s)"
"Lifetime Sales","Ciclo de ventas"
"City","Ciudad"
"Tax Class","Clase del impuesto"
"Tax class","Clase del impuesto"
"Customer","Cliente"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Online Customers","Clientes conectados"
"Registered Customers","Clientes registrados"
"Product Reviews","Comentarios del producto"
"Company","Compa&ntilde;&iacute;a"
"Share Customer Accounts","Compartir las cuentas de clientes"
"Bought From","Comprado desde"
"Purchased at","Comprado el"
"Purchase On","Comprado en "
"Online","Conectado"
"Config","Configuraci&oacute;n"
"Customer Configuration","Configuraci&oacute;n del cliente"
"Set as Default Shipping Address","Configurar como direcci&oacute;n de env&iacute;o por defecto"
"Set as Default Billing Address","Configurar como direcci&oacute;n de facturaci&oacute;n por defecto"
"Confirm Password","Confirmar la contrase&ntilde;a"
"Confirm New Password","Confirmar la nueva contrase&ntilde;a"
"Invalid attribute set specified, skipping the record","Conjunto de atributo inv&aacute;lido, se omite el registro"
"Continue Shopping","Continuar comprando"
"Password","Contrase&ntilde;a"
"Current Password","Contrase&ntilde;a actual"
"Email","Correo electr&oacute;nico"
"Missing email, skipping the record","Correo electr&oacute;nico perdido, se omite el registro"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create Order","Crear un Pedido"
"Create an Account","Crear una cuenta"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"CSV","CSV"
"Days in Wishlist","D&iacute;as en la lista de art&iacute;culos de inter&eacute;s"
"Offline","Desconectado"
"Unknown","Desconocido"
"User description","Descripci&oacute;n del usuario"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta usted puede ver un resumen de sus actividades recientes y actualizar la informaci&oacute;n de su cuenta. Seleccione un enlace inferior para ver o editar informaci&oacute;n."
"Disabled","Deshabilitado"
"Details","Detalles"
"Paused","Detenido"
"Refunded","Devuelto"
"Address","Direcci&oacute;n"
"Email Address","Direcci&oacute;n de correo electr&oacute;nico"
"Default Shipping Address","Direcci&oacute;n de env&iacute;o por defecto"
"Primary Shipping Address","Direcci&oacute;n de env&iacute;o principal"
"Default Billing Address","Direcci&oacute;n de facturaci&oacute;n por defecto"
"Primary Billing Address","Direcci&oacute;n de facturaci&oacute;n principal"
"IP Address","Direcci&oacute;n IP"
"Addresses","Direcciones"
"Customer Addresses","Direcciones del cliente"
"Default Addresses","Direcciones por defecto"
"Default Email Domain","Dominio de correo electr&oacute;nico por defecto"
"Edit","Editar"
"Edit Group","Editar el grupo"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Address Entry","Editar la direcci&oacute;n"
"Edit Address","Editar la direcci&oacute;n"
"Edit Account Information","Editar la informaci&oacute;n de la cuenta"
"Edit Personal Information","Editar la informaci&oacute;n personal"
"Edit Newsletter Subscription","Editar la suscripci&oacute;n al bolet&iacute;n de noticias"
"Edit Customer's Address","Editar las direcciones de los clientes"
"Edit Newsletters","Editar los boletines de noticias"
"Edit Customer Groups","Editar los grupos de clientes"
"Invalid login or password","El acceso o contrase&ntilde;a es inv&aacute;lido"
"Your account balance is: %s","El balance de su cuenta es: %s"
"Customer doesn't have primary billing address","El cliente no posee una direcci&oacute;n de facturaci&oacute;n principal"
"Customer email already exists","El correo electr&oacute;nico del cliente ya existe"
"Group ""%s"" can not be deleted","El grupo ""%s"" no puede ser borrado"
"Customer Group was successfully deleted","El grupo de clientes fue borrado con &eacute;xito"
"Customer Group was successfully saved","El grupo de clientes fue guardado con &eacute;xito"
"Additional Address Entries","Entradas adicionales de domicilio"
"Sent","Enviado"
"Shipped to Last Name","Enviado a apellido"
"Shipped to Name","Enviado a nombre de"
"Sending","Enviando"
"Submit","Enviar"
"Ship to Last name","Enviar a apellido"
"Ship to First name","Enviar a nombre"
"Send auto-generated password","Enviar contrase&ntilde;a autogenerada"
"Send welcome email","Enviar correo electr&oacute;nico de bienvenida"
"Shipped to First Name","Envidado a nombre"
"Error during retrieval of option value: %s","Error durante la recuperaci&oacute;n del valor de la opci&oacute;n: %s"
"Are you sure?","Est&aacute; seguro?"
"This email address was not found in our records","Esta direcci&oacute;n de correo electr&oacute;nico no fue encontrada en los registros"
"This is My Primary %s Address","Esta es mi principal %s direcci&oacute;n"
"Sales Statistics","Estad&iacute;sticas de venta"
"Status","Estado"
"State/Province","Estado / Provincia"
"This customer has no saved addresses.","Este cliente no grab&oacute; sus direcciones"
"Product Tags","Etiquetas del producto"
"Fax","Fax"
"Date","Fecha"
"Date Added","Fecha agregada"
"Newsletter Finish","Final del bolet&iacute;n de noticias"
"Password Management","Gesti&oacute;n de la contrase&ntilde;a"
"Manage Customers","Gestionar clientes"
"Manage Addresses","Gestionar direcciones"
"Global","Global"
"Thank you for registering with %s","Gracias por registrarse con %s"
"Group","Grupo"
"Customer Group","Grupo del cliente"
"Default Group","Grupo por defecto"
"Customer Groups","Grupos de clientes"
"Saved ","Guardado"
"Save","Guardar"
"Save Customer","Guardar cliente"
"Save Password","Guardar contrase&ntilde;a"
"Save Address","Guardar direcci&oacute;n"
"Save Customer Group","Guardar grupo de cliente"
"You're now Logged Out","Ha cerrado su sesi&oacute;n correctamente"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ha salido con &eacute;xito del sistema y ser&aacute; redirigido a nuestra p&aacute;gina de inicio en 5 segundos."
"Hello, %s!","Hola, %s!"
"Session Start Time","Hora de inicio de la sesi&oacute;n"
"HTML","HTML"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al guardar la colecci&oacute;n. Cancelando. Error: %s"
"ID","ID"
"Invalid option id specified for %s (%s), skipping the record","ID de opci&oacute;n inv&aacute;lida para %s (%s), se omite el registro"
"Product ID","ID de producto"
"Wrong region id by selected country","ID de regi&oacute;n incorrecto para el pa&iacute;s seleccionado"
"Amount","Importe"
"Grand Total","Importe total"
"Grand Total: %s","Importe total: %s"
"Contact Information","Informaci&oacute;n de contacto"
"Login Information","Informaci&oacute;n de Inicio de sesi贸n"
"Account Information","Informaci&oacute;n de la cuenta"
"Address Information","Informaci&oacute;n de la direcci&oacute;n"
"Billing Information","Informaci&oacute;n de la facturaci&oacute;n"
"Newsletter Information","Informaci&oacute;n del bolet&iacute;n de noticias"
"Customer Information","Informaci&oacute;n del cliente"
"Shipping Information","Informaci&oacute;n del env&iacute;o"
"Group Information","Informaci&oacute;n del grupo"
"Personal Information","Informaci&oacute;n personal"
"Log In","Iniciar sesi&oacute;n"
"Login","Iniciar sesi贸n"
"Login or Create an Account","Inicie sesi贸n o cree una cuenta"
"Newsletter Start","Inicio del bolet&iacute;n de noticias"
"Guest","Invitado"
"Go to Address Book","Ir a la libreta de direcciones"
"Invalid current password","La contrase&ntilde;a actual es inv&aacute;lida"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contrase&ntilde;a debe tener 6 caracteres como m&iacute;nimo. Los espacios en blanco ser&aacute;n ignorados."
"Invalid email address","La direcci&oacute;n de correo electr&oacute;nico es inv&aacute;lida"
"The address was successfully deleted","La direcci&oacute;n fue borrada con &eacute;xito"
"The address was successfully saved","La direcci&oacute;n fue guardada con &eacute;xito"
"The address does not belong to this customer","La direcci&oacute;n no pertenece a este cliente"
"Account information was successfully saved","La informaci&oacute;n de la cuenta se grab&oacute; con &eacute;xito"
"Address Book","Libreta de direcciones"
"Wishlist","Lista de art&iacute;culos de inter&eacute;s"
"Wishlist - %d item(s)","Lista de art&iacute;culos de inter&eacute;s - %d art&iacute;culo(s)"
"Order List...","Lista de Pedidos..."
"Pasword fields can't be empty.","Los campos de contrase&ntilde;a no pueden estar en blanco"
"Invalid customer data","Los datos del cliente son inv&aacute;lidos"
"Shipping Method","M&eacute;todo de env&iacute;o"
"Payment Method","M&eacute;todo de pago"
"My Account","Mi cuenta"
"My Dashboard","Mi panel de control"
"My Wishlist","Mis art&iacute;culos de inter&eacute;s"
"My Tags","Mis etiquetas"
"My Reviews","Mis opiniones"
"My Orders","Mis Pedidos"
"n/a","n/d"
"You have not set a primary shipping address.","No ha indicado una direcci&oacute;n de env&iacute;o principal."
"You have not set a primary billing address.","No ha indicado una direcci&oacute;n de facturaci&oacute;n principal."
"There are no items in customer's shopping cart at the moment","No hay art&iacute;culos en el carrito de compras del cliente por el momento"
"No Items Found","No se encontraron art&iacute;culos"
"No Newsletter Found","No se encontraron boletines de noticias"
"No product collections found","No se encontraron colecciones de productos"
"Not Sent","No se envi&oacute;"
"Can't save customer","No se puede guardar el cliente"
"Can't save address","No se puede guardar la direcci&oacute;n"
"Can't share customer accounts global.","No se pueden compartir globalmente las cuentas de los clientes"
"You have no additional address entries in your address book.","No tiene direcciones adicionales en su libreta de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en su libreta de direcciones."
"You have no primary entries in your address book.","No tiene entradas principales en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene una direcci&oacute;n de env&iacute;o por defecto en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene una direcci&oacute;n de facturaci&oacute;n por defecto en su libreta de direcciones."
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la etiqueta"
"Group Name","Nombre del grupo"
"Product name","Nombre del producto"
"Product Name","Nombre del producto"
"Missing firstname, skipping the record","Nombre perdido, se omite el registro"
"New passowrd","Nueva contrase&ntilde;a"
"New Password","Nueva contrase&ntilde;a"
"New account","Nueva cuenta"
"New Address","Nueva direcci&oacute;n"
"New Customer Address","Nueva direcci&oacute;n del cliente"
"New Address Entry","Nueva entrada de direcci&oacute;n"
"New Customer","Nuevo cliente"
"New Group","Nuevo grupo"
"New Customer Group","Nuevo grupo de clientes"
"New Customers","Nuevos clientes"
"New Customer Groups","Nuevos grupos de clientes"
"Never","Nunca"
"or","o"
"Forgot Your Password?","Olvid&oacute; su contrase&ntilde;a?"
"Skip import row, website ""%s"" field not exists","Omitir la fila de importaci&oacute;n. El campo del sitio web ""%s"" no existe."
"Skip import row, required field ""%s"" not defined","Omitir la fila de importaci&oacute;n. El campo requerido ""%s"" no est&aacute; definido."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opci&oacute;n de atributo inv&aacute;lida para el atributo  %s (%s), se omite el registro"
"Password Options","Opciones de la contrase&ntilde;a"
"Account Sharing Options","Opciones para compartir la cuenta"
"Country","Pa&iacute;s"
"Account Dashboard","Panel de Control"
"PDF","PDF"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Items Order","Pedido de art&iacute;culos"
"Orders","Pedidos"
"Recent Orders","Pedidos recientes"
"Pending","Pendiente"
"Email Template","Plantilla de correo electr&oacute;nico"
"Forgot Email Template","Plantilla para recordatorio de correo electr&oacute;nico"
"There are no items in customer's shopping cart at the moment","Por el momento no hay art&iacute;culos en el carrito de compras del cliente"
"There are no items in customer's wishlist at the moment","Por el momento no hay art&iacute;culos en la lista de art&iacute;culos de inter&eacute;s del cliente"
"Please select","Por favor seleccione"
"Please make sure your passwords match.","Por favor, aseg&uacute;rese de que sus contrase&ntilde;as coinciden."
"Please enter your email below and we'll send you a new password.","Por favor, ingrese su correo electr&oacute;nico debajo y le enviaremos una nueva contrase&ntilde;a"
"Please enter your email below and we'll send you a new password.","Por favor, ingrese su direcci&oacute;n de correo electr&oacute;nico debajo y le enviaremos una nueva contrase&ntilde;a."
"Please enter your email.","Por favor, ingrese su direcci&oacute;n de correo electr&oacute;nico."
"Please select region, state or province","Por favor, seleccione una regi&oacute;n, estado o provincia"
"Per Website","Por sitio web"
"Price","Precio"
"Ext. Price","Precio Ext."
"Product","Producto"
"Average Sale","Promedio de ventas"
"Remove","Quitar"
"Retrieve your password here","Recupere su contrase&ntilde;a aqu&iacute;"
"Records for ""","Registros para """
"Email Sender","Remitente de correo electr&oacute;nico"
"Forgot Email Sender","Remitente para recordatorio de correo electr&oacute;nico"
"Need to Confirm","Requiere confirmaci&oacute;n"
"Customers Only","S&oacute;lo clientes"
"Visitors Only","S&oacute;lo visitantes"
"A new password was sent","Se envi&oacute; una nueva contrase&ntilde;a"
"Customer collection expected","Se esperaba colecci&oacute;n de Cliente"
"Array of Entity collections is expected","Se esperaba una cadena de colecciones de entidad"
"Entity collection is expected","Se esperaba una colecci&oacute;n de Entidad"
"There was an error while deleting the address","Se produjo un error al borrar la direcci&oacute;n"
"Login and password are required","Se requieren la identificaci&oacute;n y la contrase&ntilde;a"
"Subscribed to Newsletter?","Se suscribi&oacute; al bolet&iacute;n de noticias?"
"Are you sure you want to delete this address?","Seguro que desea borrar esta direcci&oacute;n?"
"Are you sure you want to cancel adding of this address?","Seguro que desea cancelar el a&ntilde;adido de esta direcci&oacute;n?"
"Are you sure the you want to remove this item?","Seguro que desea quitar este art&iacute;culo?"
"Are you sure that you want to remove this item?","Seguro que desea quitar este art&iacute;culo?"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Website","Sitio web"
"Subscribe","Suscribirse"
"Subscribe to newsletter","Suscribirse al bolet&iacute;n de noticias"
"General Subscription","Suscripci&oacute;n general"
"Newsletter Subscriptions","Suscripciones al bolet&iacute;n de noticias"
"Telephone","Tel&eacute;fono"
"Text","Texto"
"Text One Line","Texto de una l&iacute;nea"
"Store","Tienda"
"Invalid store specified, skipping the record","Tienda inv&aacute;lida, se omite el registro"
"Deleted Stores","Tiendas borradas"
"Type","Tipo"
"All Store Views","Todas las vistas de tienda"
"All","Todo"
"All countries","Todos los pa&iacute;ses"
"Total","Total"
"Order Total","Total del Pedido"
"Last Activity","Ultima actividad"
"Last date unsubscribed","Ultima fecha de desuscripci&oacute;n"
"Last date subscribed","Ultima fecha de suscripci&oacute;n"
"Last Url","Ultima URL"
"Last 5 Orders","Ultimos 5 Pedidos"
"Last Viewed Items","Ultimos art&iacute;culos vistos"
"Use as my default shipping address","Usar como mi direcci&oacute;n de env&iacute;os por defecto"
"Use as my default billing address","Usar como mi direcci&oacute;n de facturaci&oacute;n por defecto"
"Use as My Primary %s Address","Usar como mi principal %s direcci&oacute;n"
"View","Ver"
"View Order List","Ver lista de Pedidos"
"View Order","Ver Pedido"
"Visible In","Visible en"
"Visitor","Visitante"
"Customer View","Vista de cliente"
"Store View","Vista de tienda"
"Back to Login","Volver al Inicio de sesi贸n"
"Back","Volver atr&aacute;s"
"XML","XML"
